model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method	in_toks	out_toks
gpt-4o-mini-2024-07-18	KEGG_2021_Human	ABC transporters	ABC transporters	ABC transporters in lipid metabolism, Cholesterol homeostasis, Antigen processing and presentation	1.0	1.0	0.7946675412105784	llm2geneset	1181	1314
gpt-4o-mini-2024-07-18	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	AGE-RAGE signaling pathway in diabetic complications	Nuclear Factor Kappa B (NF-κB) Signaling Pathway, Transforming Growth Factor Beta (TGF-β) Signaling Pathway, Angiotensin II Signaling Pathway, Extracellular Matrix (ECM) Organization, MAPK (Mitogen-Activated Protein Kinase) Signaling Pathway	0.2857142857142857	0.16666666666666666	0.512673963987417	llm2geneset	1463	1783
gpt-4o-mini-2024-07-18	KEGG_2021_Human	AMPK signaling pathway	AMPK signaling pathway	Insulin signaling pathway, AMP-activated protein kinase (AMPK) signaling pathway, Mammalian target of rapamycin (mTOR) signaling pathway, Fatty acid metabolism, Glycolysis and gluconeogenesis	1.0	1.0	0.8751986546234052	llm2geneset	1544	1363
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Acute myeloid leukemia	Acute myeloid leukemia	PI3K/Akt signaling pathway, NF-kB signaling pathway, Regulation of cytokine production, Apoptosis signaling pathway	0.0	0.0	0.26647082491389457	llm2geneset	1258	1927
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Adherens junction	Adherens junction	Adherens junctions, Actin cytoskeleton organization, TGF-beta signaling pathway, Wnt signaling pathway, EGFR signaling pathway	1.0	1.0	0.9302434314286301	llm2geneset	1269	1697
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Adipocytokine signaling pathway	Adipocytokine signaling pathway	Adipocytokine Signaling Pathway, TNF Signaling Pathway, Fatty Acid Metabolism, Insulin Signaling Pathway, AMPK Signaling Pathway	1.0	1.0	0.99999890672204	llm2geneset	1284	1688
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	Adrenergic signaling in cardiomyocytes	Calcium signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, MAPK signaling pathway	0.25	0.0	0.46669546626392866	llm2geneset	1681	2024
gpt-4o-mini-2024-07-18	KEGG_2021_Human	African trypanosomiasis	African trypanosomiasis	Cytokine Signaling in Immune System, Toll-Like Receptor Signaling Pathway, Hematopoietic Cell Lineage, Apoptosis Signaling Pathway	0.0	0.0	0.21861070135351035	llm2geneset	1172	1513
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	Glutamate Metabolism, Amino Acid Metabolism, Nitrogen Metabolism, Urea Cycle, Gamma-Aminobutyric Acid (GABA) Synthesis	0.4	0.25	0.6755723428809982	llm2geneset	1141	1385
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Alcoholism	Alcoholism	Neurological signaling pathways, Phosphorylation and dephosphorylation	0.0	0.0	0.16240729719049946	llm2geneset	1748	1334
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Aldosterone synthesis and secretion	Aldosterone synthesis and secretion	Calcium signaling pathway, Adrenal steroidogenesis, Steroid hormone biosynthesis	0.0	0.0	0.6170955684260002	llm2geneset	1426	1641
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	Aldosterone-regulated sodium reabsorption	Sodium transport and ion homeostasis, Insulin signaling pathway, PI3K-Akt signaling pathway, Glucocorticoid receptor signaling pathway, Mitogen-activated protein kinase (MAPK) signaling pathway	0.25	0.0	0.5378826928045954	llm2geneset	1192	1480
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Allograft rejection	Allograft rejection	Cytokine signaling in immune system, Antigen presentation via MHC Class II, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, Apoptosis signaling pathway	0.0	0.0	0.30818290561844097	llm2geneset	1158	1423
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Alzheimer disease	Alzheimer disease	Wnt Signaling Pathway, NADH Dehydrogenase Complex (Complex I) Assembly, Apoptosis Signaling Pathway, Inflammatory Response, Autophagy-related Processes	0.0	0.0	0.25751313012229293	llm2geneset	2508	1938
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	Nucleotide sugar biosynthesis, Galactose metabolism, Mannose and fructose metabolism, Glycolysis/Gluconeogenesis	0.3333333333333333	0.2	0.727702895786389	llm2geneset	1180	1140
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	None found.	0.0	0.0	0.16586661679082593	llm2geneset	1214	1063
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amoebiasis	Amoebiasis	Cytokine signaling in immune system, Extracellular matrix organization, Collagen formation, Phosphatidylinositol signaling system, TGF-beta signaling pathway	0.0	0.0	0.1964655030023481	llm2geneset	1400	2421
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amphetamine addiction	Amphetamine addiction	Neurotransmitter release, Calcium signaling pathway, Dopaminergic signaling pathway, Regulation of gene expression	0.0	0.0	0.30755387194261674	llm2geneset	1302	1717
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	Apoptosis, Nuclear Transport, Oxidative Stress Response, Mitochondrial Biogenesis, Autophagy	0.0	0.0	0.35329860732386564	llm2geneset	2440	1327
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Antigen processing and presentation	Antigen processing and presentation	Antigen processing and presentation, Major histocompatibility complex (MHC) class I and II antigen presentation, Heat shock protein (HSP) response, Natural Killer (NK) cell mediated cytotoxicity	1.0	1.0	0.9999990109209353	llm2geneset	1351	1310
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Apelin signaling pathway	Apelin signaling pathway	cAMP signaling pathway, Calcium signaling pathway, Insulin signaling pathway, Regulation of cardiac muscle contraction	0.6666666666666666	0.5	0.5358287219473241	llm2geneset	1540	1702
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Apoptosis	Apoptosis	Apoptosis, Neurotrophin signaling pathway, PI3K-Akt signaling pathway, Endoplasmic reticulum stress response, Cytokine signaling in immune system	1.0	0.0	0.999999991362256	llm2geneset	1535	1310
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Arachidonic acid metabolism	Arachidonic acid metabolism	Arachidonic acid metabolism, Eicosanoid signaling pathway, Cytochrome P450 pathway, Phospholipid metabolism	1.0	1.0	0.9999987782100481	llm2geneset	1296	1579
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Arginine and proline metabolism	Arginine and proline metabolism	L-proline biosynthesis, Urea cycle, Nitric oxide signaling pathway, Arginine biosynthesis, Dopamine metabolism	0.25	0.0	0.729122463930234	llm2geneset	1177	837
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Arginine biosynthesis	Arginine biosynthesis	Amino Acid Metabolism, Glutamate Metabolism, Urea Cycle, Arginine and Proline Metabolism, Nitric Oxide Signaling Pathway	0.5	0.0	0.7289442140383446	llm2geneset	1079	1409
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	Arrhythmogenic right ventricular cardiomyopathy	Integrin signaling pathway, Calcium ion transport, Cell adhesion, Cardiac muscle contraction	0.0	0.0	0.33743734225275973	llm2geneset	1304	1594
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	Phase II drug metabolism, Galactose metabolism	0.25	0.0	0.5436334566144291	llm2geneset	1153	1293
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Asthma	Asthma	Antigen presentation via MHC class II, Eosinophil degranulation, Cytokine signaling in the immune system, Immune response regulatory networks	0.0	0.0	0.3351208513722169	llm2geneset	1146	1378
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Autoimmune thyroid disease	Autoimmune thyroid disease	Antigen presentation via MHC class II, Cytokine signaling in immune system, Natural killer cell mediated cytotoxicity, T cell activation	0.0	0.0	0.27032007955748383	llm2geneset	1210	1476
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Autophagy	Autophagy	Autophagy, mTOR signaling pathway, Insulin signaling pathway, Apoptotic signaling pathway	1.0	0.0	0.9999991291343181	llm2geneset	1544	1445
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Axon guidance	Axon guidance	Semaphorin signaling pathway, Ephrin signaling pathway, Cytoskeletal organization, Wnt signaling pathway, Neurotrophin signaling pathway	0.0	0.0	0.3650481005873317	llm2geneset	1743	1889
gpt-4o-mini-2024-07-18	KEGG_2021_Human	B cell receptor signaling pathway	B cell receptor signaling pathway	B Cell Receptor Signaling Pathway, PI3K/AKT Signaling Pathway, T Cell Receptor Signaling Pathway, NF-kappaB Signaling Pathway, Cytokine Signaling in Immune system	1.0	1.0	0.9999990451036089	llm2geneset	1348	1401
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Bacterial invasion of epithelial cells	Bacterial invasion of epithelial cells	Actin cytoskeleton organization, Endocytosis, Rho GTPase cycle, Signal transduction, Cell adhesion	0.2	0.0	0.3835460056854304	llm2geneset	1297	1537
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Basal cell carcinoma	Basal cell carcinoma	Wnt signaling pathway, Hedgehog signaling pathway	0.0	0.0	0.2505341128937605	llm2geneset	1213	1793
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Basal transcription factors	Basal transcription factors	Formation of the pre-initiation complex (PIC), Transcription from RNA polymerase II promoter, Nucleotide excision repair	0.3333333333333333	0.0	0.475276186472259	llm2geneset	1225	1134
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Base excision repair	Base excision repair	Base Excision Repair (BER), DNA Mismatch Repair, DNA Damage Response	1.0	1.0	0.8656170521345922	llm2geneset	1118	1058
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Bile secretion	Bile secretion	Drug Metabolism Pathway, ABC Transporters Pathway	0.0	0.0	0.3142932693379867	llm2geneset	1428	1404
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids	Very long chain fatty acid elongation, Delta-5 and Delta-6 fatty acid desaturation, Lipid biosynthesis, Peroxisome metabolism, Fatty acid metabolism	0.4	0.25	0.6716516461289159	llm2geneset	1113	1188
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Bladder cancer	Bladder cancer	EGFR signaling pathway, Ras signaling pathway, Cell cycle regulation, Metalloproteinases degradation pathway, Apoptosis signaling pathway	0.0	0.0	0.24584899834652357	llm2geneset	1142	1657
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Breast cancer	Breast cancer	Wnt signaling pathway, Notch signaling pathway, EGF receptor signaling pathway, Cell cycle regulation, Apoptosis signaling pathway	0.0	0.0	0.27281476330372073	llm2geneset	1543	1738
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Butanoate metabolism	Butanoate metabolism	Ketone body metabolism	0.5	0.0	0.5754100193247113	llm2geneset	1104	1472
gpt-4o-mini-2024-07-18	KEGG_2021_Human	C-type lectin receptor signaling pathway	C-type lectin receptor signaling pathway	Phosphoinositide 3-kinase (PI3K) signaling pathway, Cytokine signaling in the immune system, Nuclear factor kappa B (NF-kB) signaling pathway, Mitogen-activated protein kinase (MAPK) signaling pathway, Calcium signaling pathway	0.3333333333333333	0.2	0.540709351788598	llm2geneset	1463	2099
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Caffeine metabolism	Caffeine metabolism	Drug metabolism - cytochrome P450 pathway, Phase II drug metabolism	0.5	0.0	0.5227596318595575	llm2geneset	1020	1634
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Calcium signaling pathway	Calcium signaling pathway	Calcium signaling pathway, G protein-coupled receptor signaling pathway, Phospholipase C signaling pathway, Neurotransmitter receptor signaling pathway	1.0	1.0	0.999999181914956	llm2geneset	2000	2204
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Carbohydrate digestion and absorption	Carbohydrate digestion and absorption	Cell signaling pathway involving phosphoinositides, Amylase activity and carbohydrate metabolism, Insulin signaling pathway, Ion transport mechanism, Glycolysis	0.5	0.0	0.5438540210251623	llm2geneset	1209	1533
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction	Cardiac muscle contraction	Cardiac muscle contraction, Calcium signaling pathway, Excitation-contraction coupling, Oxidative phosphorylation	1.0	1.0	0.9999989772386033	llm2geneset	1392	2070
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cell adhesion molecules	Cell adhesion molecules	Cell adhesion molecules (CAMs) pathway, Major histocompatibility complex (MHC) class II antigen processing and presentation	1.0	1.0	0.7497386496071079	llm2geneset	1601	1443
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cell cycle	Cell cycle	Cell Cycle Regulation, TGF-beta Signaling Pathway, DNA Damage Response, Chromosome Segregation	1.0	1.0	0.7624077175531067	llm2geneset	1467	1624
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cellular senescence	Cellular senescence	Cell cycle regulation, TGF-beta signaling pathway, DNA damage response, Insulin signaling pathway, Apoptosis	0.0	0.0	0.5025426716775843	llm2geneset	1601	1454
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Central carbon metabolism in cancer	Central carbon metabolism in cancer	Glycolysis, PI3K-Akt signaling pathway, Cellular response to hypoxia, Insulin signaling pathway	0.0	0.0	0.4201694224692435	llm2geneset	1272	1489
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chagas disease	Chagas disease	Cytokine signaling in the immune system, Phosphoinositide 3-kinase (PI3K) signaling pathway, TGF-beta signaling pathway, MAPK signaling pathway, Apoptosis signaling pathway	0.0	0.0	0.19854815403027615	llm2geneset	1430	1900
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemical carcinogenesis	Chemical carcinogenesis	Drug Metabolism - Cytochrome P450 Pathway, EGF receptor signaling pathway, Cyclic nucleotide signaling pathway, Notch signaling pathway, Apoptosis signaling pathway	0.0	0.0	0.3618913647272862	llm2geneset	2030	1628
